,ProfileId,CarName,PriceNumeric,KmNumeric,MakeYear,Color,CityName,OwnerTypeId
150,S986006,Toyota Fortuner 3.0 4x2 MT,2200000,32500,2013,White Pearl,Chennai,1
151,S997545,Toyota Corolla Altis 1.8 VL AT,525000,83500,2009,Silver Mica Metallic,Chennai,3
152,S996329,Toyota Innova 2.5 G4 7 STR,650000,97200,2007,Black Mica,Chennai,1
153,S997330,Toyota Innova 2.5 VX 7 STR BS-IV,1050000,80000,2011,Grey Mica Metallic,Chennai,1
154,S993220,Toyota Corona Petrol,200000,110000,2003,Silver,Chennai,2
155,S961206,Toyota Fortuner 3.0 4x4 MT,1907000,62000,2015,,Chennai,1
156,S982532,Toyota Innova 2.5 G4 7 STR,695000,105000,2007,Black Mica,Chennai,1
157,S990883,Toyota Innova 2.5 VX 7 STR,1050000,87000,2010,Grey Mica Metallic,Chennai,2
158,S998800,Toyota Innova 2.0 GX 8 STR BS-IV,950000,98650,2013,White,Chennai,2
159,S998579,Toyota Innova 2.0 GX 8 STR BS-IV,950000,98652,2013,White,Chennai,2
160,S978132,Toyota Innova 2.5 G 7 STR BS-IV,1050000,105000,2013,White,Chennai,1
161,S996393,Toyota Innova 2.5 V 7 STR,650000,120000,2005,Silver Metallic,Chennai,2
162,S996475,Toyota Innova 2.5 V 7 STR,650000,120000,2005,Silver Metallic,Chennai,2
163,S990178,Toyota Innova 2.5 V 7 STR,675000,125000,2007,Champagne Mica Metallic,Chennai,2
164,D1449047,Toyota Etios VD,600000,51000,2014,Grey,Pune,1
165,D1471438,Toyota Etios VX,350000,70346,2011,Silver,Pune,1
166,D1436437,Toyota Corolla H5 1.8E,350000,75000,2007,White,Pune,1
167,D1487998,Toyota Etios V,490000,8000,2014,Grey,Pune,1
168,D1471427,Toyota Innova 2.5 G 7 STR BS-IV,1150000,106957,2014,White,Pune,1
169,D1471439,Toyota Innova 2.5 EV PS 8 STR BS-IV,1000000,135296,2012,Silver,Pune,2
170,D1488331,Toyota Innova 2.5 G 7 STR BS-IV,1325000,23330,2014,Gold,Pune,1
171,D1476333,Toyota Corolla Altis 1.8 G,490000,68130,2009,Silver,Pune,1
172,D1476331,Toyota Innova 2.5 G BS IV 8 STR,760000,69986,2009,Silver,Pune,1
173,D1484701,Toyota Corolla H5 1.8E,225000,90000,2006,Black,Pune,1
174,D1479811,Toyota Innova 2.5 G 7 STR BS-IV,699000,117000,2010,Gold,Pune,1
175,D1465257,Toyota Innova 2.5 G 7 STR BS-IV,700000,170000,2008,Red,Pune,1
176,D1385764,Toyota Land Cruiser Prado VX L,4000000,110000,2010,White,Pune,2
177,D1432197,Toyota Innova 2.5 V 7 STR,1345000,54000,2013,Grey,Pune,1
178,D1467769,Toyota Etios G,345000,36500,2011,Silver,Pune,1
179,D1483665,Toyota Innova 2.5 V 7 STR,1500000,66000,2014,Silver,Pune,1
180,D1469662,Toyota Innova 2.5 EV CS 7 STR BS-IV,1225000,84968,2013,Silver,Pune,1
181,D1487261,Toyota Innova 2.5 V 7 STR,1200000,89807,2013,Grey,Pune,2
182,D1461890,Toyota Innova 2.5 V 7 STR,875000,122124,2011,Silver,Pune,1
183,D1487189,Toyota Fortuner 4x4 MT Limited Edition,1425000,124047,2011,Silver,Pune,1
184,D1385252,Toyota Corolla H3 1.8G,201000,94000,2003,Silver,Pune,1
185,D1487178,Toyota Fortuner 3.0 4x4 MT,1725000,105967,2012,White,Pune,1
186,D1469493,Toyota Corolla Altis 1.8 G,375000,71000,2008,Silver,Pune,2
187,D1482369,Toyota Innova 2.5 V 7 STR,750000,109000,2010,Grey,Pune,2
188,D1439819,Toyota Etios G,360000,37147,2011,White,Pune,1
189,D1365774,Toyota Etios VX,400000,70000,2011,Beige,Pune,1
190,D1468138,Toyota Innova 2.5 ZX 7 STR BS-IV,1375000,77000,2013,White,Pune,1
191,D1445969,Toyota Corolla Altis 1.8 GL,500000,90000,2008,Brown,Pune,1
192,D1423907,Toyota Innova 2.5 G 7 STR BS-IV,1125000,88000,2013,Silver,Pune,1
193,D1476656,Toyota Innova 2.0 G1 BS-IV,800000,109022,2010,Silver,Pune,1
194,D1395788,Toyota Innova 2.5 V 7 STR,1075000,126000,2012,Grey,Pune,1
195,D1342814,Toyota Land Cruiser LC 200 VX,1450000,128000,2001,White,Pune,2
196,D1459026,Toyota Innova 2.5 V 7 STR,925000,140000,2011,Silver,Pune,3
197,D1433634,Toyota Corolla Altis 1.8 G CNG,371000,88000,2009,Grey,Pune,2
198,D1453826,Toyota Etios VX,380000,91453,2010,Gold,Pune,1
199,D1467821,Toyota Etios Liva GD,480000,62500,2013,Red,Pune,1
200,D1430642,Toyota Innova 2.5 V 8 STR,1500000,81497,2015,White,Pune,1
201,D1475092,Toyota Etios GD,440000,79481,2011,Silver,Pune,2
202,D1487667,Toyota Innova 2.5 V 7 STR,1475000,60000,2015,Silver,Pune,1
203,D1471202,Toyota Corolla Altis G Diesel,600000,125000,2011,Gold,Pune,1
204,D1465809,Toyota Etios Cross 1.5 V,599000,37174,2015,Black,Pune,1
205,D1435027,Toyota Etios G,349000,42673,2011,Blue,Pune,1
206,D1483389,Toyota Innova Crysta 2.4 ZX 7 STR,2000000,34252,2016,Silver,Pune,1
207,D1477474,Toyota Corolla Altis G Diesel,580000,108833,2012,White,Pune,2
208,D1485507,Toyota Innova 2.5 G4 7 STR,790000,104325,2009,Grey,Pune,1
209,D1484691,Toyota Corolla Altis 1.8 G,325000,140000,2008,Blue,Pune,2
210,D1484713,Toyota Innova 2.0 G1 BS-IV,370000,169328,2007,Gold,Pune,3
211,D1453021,Toyota Innova 2.5 G3,555000,167483,2007,Black,Pune,2
212,D1471893,Toyota Etios V,380000,45000,2011,White,Pune,1
213,D1476816,Toyota Etios Liva G,335000,44000,2012,Blue,Pune,1
214,D1268221,Toyota Etios Cross 1.5 V,600000,35295,2015,Black,Pune,1
215,D1484728,Toyota Corolla Altis 1.8 G,351000,62000,2008,White,Pune,1
216,D1378587,Toyota Etios G,415000,53492,2012,Silver,Pune,1
217,D1482691,Toyota Innova 2.5 ZX BS IV 7 STR,1425000,55990,2015,Grey,Pune,2
218,D1460915,Toyota Innova Crysta 2.8 ZX AT 7 STR,2150000,29000,2016,Silver,Pune,1
219,D1393307,Toyota Corolla Altis 1.8 VL AT,799000,50000,2012,White,Pune,1
220,D1431039,Toyota Corolla Altis G Diesel,625000,105000,2011,White,Pune,1
221,D1474701,Toyota Innova 2.5 G4 8 STR,650000,57924,2007,Silver,Pune,1
222,D1458741,Toyota Innova 2.5 G4 7 STR,750000,88904,2010,Silver,Pune,1
223,D1464954,Toyota Fortuner 3.0 4x4 AT,2700000,20000,2016,White,Pune,2
224,D1413490,Toyota Etios GD,470000,123236,2012,Gold,Pune,1
225,D1459231,Toyota Innova 2.5 G4 7 STR,1090000,111134,2013,Grey,Pune,1
226,D1488135,Toyota Fortuner 3.0 MT,1250000,107050,2010,Black,Pune,1
227,D1395618,Toyota Corolla Altis G Diesel,700000,127589,2012,Silver,Pune,1
228,D1421522,Toyota Fortuner 3.0 4x2 MT,1450000,133064,2012,Black,Pune,1
229,D1443303,Toyota Innova 2.5 G 7 STR BS-IV,950000,135000,2012,Silver,Pune,1
230,D1461878,Toyota Innova 2.0 G4,525000,115000,2006,White,Pune,1
231,D1472367,Toyota Fortuner 3.0 MT,1250000,162199,2011,Black,Pune,1
232,D1154445,Toyota Corolla H4 1.8G,325000,110000,2005,Maroon,Pune,2
233,D1487440,Toyota Innova 2.5 V 7 STR,975000,430000,2011,Silver,Pune,1
234,D1426371,Toyota Innova 2.5 E 7 STR,770000,58000,2010,Gold,Pune,1
235,D1365816,Toyota Etios Cross 1.5 V,550000,27000,2014,Orange,Pune,1
236,D1356107,Toyota Etios V,385000,51000,2011,Blue,Pune,1
237,D1483379,Toyota Etios G SP,460000,51000,2014,Silver,Pune,1
238,D1472020,Toyota Corolla H2 1.8E,155000,97000,2003,White,Pune,2
239,D1484363,Toyota Corolla H5 1.8E,250000,112000,2006,White,Pune,1
240,D1386101,Toyota Etios VD,540000,81000,2012,White,Pune,1
241,D1466103,Toyota Innova 2.5 G 8 STR BS-III,800000,90000,2009,Silver,Pune,1
242,D1466763,Toyota Innova 2.5 V 7 STR,1150000,85000,2012,Silver,Pune,1
243,D1342801,Toyota Innova 2.5 G 8 STR BS-IV,800000,111000,2010,White,Pune,1
244,D1486484,Toyota Innova 2.5 VX BS IV 8 STR,1225000,103000,2013,Grey,Pune,1
245,D1444895,Toyota Fortuner 3.0 4x4 MT,1300001,95000,2010,Blue,Pune,1
246,D1483814,Toyota Corolla Altis GL Diesel,550000,80000,2010,Silver,Pune,1
247,D1454972,Toyota Innova 2.5 V 7 STR,750000,135000,2010,Gold,Pune,2
248,D1462831,Toyota Innova 2.5 G4 8 STR,475000,140000,2006,Silver,Pune,2
249,D1488038,Toyota Innova 2.5 V 7 STR,875000,135000,2011,Blue,Pune,1
250,D1471414,Toyota Fortuner 3.0 MT,1275000,150000,2009,White,Pune,1
251,D1362331,Toyota Innova 2.5 G 7 STR BS-IV,850000,180000,2012,White,Pune,1
252,D1468602,Toyota Innova 2.0 G1 BS-IV,1150000,160000,2013,Silver,Pune,1
253,D1404943,Toyota Fortuner 3.0 MT,1200000,177816,2009,White,Pune,2
254,D1465573,Toyota Innova 2.5 V 7 STR,750000,194000,2009,Silver,Pune,2
255,D1456908,Toyota Innova 2.5 V 8 STR,950000,280000,2012,Beige,Pune,1
256,D1321112,Toyota Land Cruiser LC 200 VX,7900000,145000,2013,White,Pune,1
257,D1472701,Toyota Innova 2.5 VX 8 STR BS-IV,1050000,154000,2012,Grey,Pune,1
258,S958897,Toyota Innova 2.5 VX 8 STR BS-IV,1050000,42500,2011,,Pune,2
259,S971554,Toyota Etios Liva GD,500000,63000,2013,Gray,Pune,2
260,S959398,Toyota Etios Cross 1.4 GD,775000,6500,2017,Silver,Pune,1
261,S973937,Toyota Etios VX,340000,45000,2012,Vermillion Red,Pune,1
262,S962653,Toyota Etios GD,780000,35000,2016,,Pune,1
