Seller,PriceNumeric,KmNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId,enc_seller,enc_gearBox,enc_fuel,enc_color_silver,enc_color_white,enc_color_grey,enc_color_gold,enc_color_black,enc_color_blue,enc_color_other,enc_city_new_delhi,enc_city_mumbai,enc_city_bangalore,enc_city_hyderabad,enc_city_chennai,enc_city_thane,enc_city_other,enc_name_innova,enc_name_fortuner,enc_name_corolla_altis,enc_name_etios,label
Dealer,194000,67000,2007,Corolla,Black,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,22
Individual,550000,55000,2010,Corolla Altis,Black,Petrol,Automatic,Mumbai,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,14
Individual,700000,59950,2005,Camry,Black,Petrol,Automatic,Mumbai,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,22
Dealer,2475000,26000,2015,Fortuner,Black,Diesel,Automatic,Mumbai,1,6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,16
Individual,310000,59000,2011,Etios,Celestial Black,Petrol,Manual,Mumbai,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,12
Individual,145000,84263,2004,Corolla,Black,Petrol,Automatic,Mumbai,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,28
Dealer,350000,26000,2012,Etios,Blue,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,26
Dealer,775001,46808,2013,Corolla Altis,Blue,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,8
Dealer,305000,70000,2008,Corolla Altis,Blue,Petrol,Manual,Mumbai,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,18
Dealer,1075000,87024,2012,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,1175000,103000,2013,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,615000,138000,2009,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
